question,answer,result
who won her first tennis grand slam in 2018,Simona Halep,Naomi Osaka
who sings i got you under my skin,"Cole Porter,Virginia Bruce",Frank Sinatra
where did france colonize in the new world,"much of eastern North America,a number of Caribbean islands,in South America",Canada
a management information system is which type of system,"an information system,information,information system",Business
when did the harry potter movie come out,"2001,16 November 2001",2001
who went home on the first week of dancing with the stars juniors,"Addison & Lev,Tripp Johnston Palin,Hailey Bills,Tripp & Hailey,Addison Osta Smith",Maddie Rae
where was the eastern front located in ww1,included most of Eastern Europe,EasternEurope
who sings now that we have love what are we going to do with it,The O'Jays,HueyLewisandtheNews
who played apollo creed in the original rocky,Carl Weathers,Carl Weathers
kuchipudi is a dance form of which state,Andhra Pradesh,Andhra Pradesh
what is the meaning of zhongguo renmin yinhang,"People's Bank of China,without tones",People's Bank of China
where was the lion king musical first performed,"July 8, 1997,Minneapolis, Minnesota,the Orpheum Theatre",Minneapolis
the federal housing administration (fha) insures lenders against,loan default on mortgages,Mortgages
when the united states entered world war 1 it joined what powers,"Allies,allied powers",Allied Powers
who is the main character in the labyrinth,"Sarah Williams,Sarah",Theseus
the predictable order of changes in communities after a change occurs,Ecological succession,Ecological succession
who came up with the name rock and roll,Alan Freed,Alan Freed
what is the front of your lower leg called,"tibia,fibula,shinbone",Tibia
which branch of the us government makes federal laws,"legislative branch,legislative",Congress
by the year 2000 the largest number of legal immigrations to the united states came from,"Europe,All of Latin America",Mexico
one who signals train to start or stop,signalman,Railroad signalman
when do cory and topanga get back together after lauren,"\Starry Night\,Starry Night,\Honesty Night\",January 1998
who sang out of my head over you,Little Anthony & the Imperials,ColinHay
who is the tallest woman in the world and how tall is she,Sun Fang,Rumeysa Gelgi 215 cm
when was the last time the detroit tigers went to the world series,2012,2008
who is covered by the right to financial privacy act,customers of financial institutions,Financial institutions
who is considered to be the inventor of the prepared piano,"John Cage,usually traced to John Cage",John Cage
who decided what rights should be included in the convention on the rights of the child,The United Nations,United Nations
when did the saskatchewan roughriders last won the grey cup,2013,2019
who played the mom in the home alone movies,Catherine O'Hara,Catherine O’Hara
what do you call a vest in the uk,waistcoat,Waistcoat
what age do you go to school in japan,6,6
when did indiana jones and the last crusade come out,"May 24, 1989,May 24, 1989",1989
when does the good witch season 4 come out,"April 29, 2018",December 29 2023
when did the monarchy in england lose their power,since the 19th century,1688
the states which are bounded by the bay of bengal,"Chennai,West Bengal,Pondicherry,Odisha,Visakhapatnam,Andhra Pradesh",West Bengal
why were the houston astros move to american league,2013,2013
when did the water bottle flip challenge start,"2016,summer in 2016,In 2016",2019
who plays kristen dimera on days of our lives 2018,Stacy Haiduk,Meredith Xenos
what is the meaning of the name vinay,"guidance,politeness,humility,modesty,leading",Devotion
what is the italian word musicians use to describe playing a stringed instrument with a bow,Spiccato,battuta
minimum age limit for chief justice of india,65 years,I don't know
which part of a corn plant would the kernels be,"the ear,the fruits,fruits,the fruits of corn",ear
where do we find globular clusters in the galaxy,"in the halo,the halo of a galaxy",Halo
who is going to the orange bowl this year,"Oklahoma Sooners,Alabama Crimson Tide,Alabama Crimson",Oklahoma
what are the nfl channels on sirius xm radio,"Sirius XM Radio 88,channel 88",87 88 89
what can you do with custom firmware 3ds,provides region-free features,Homebrew
when was the last time india won a gold medal in hockey at olympics,1980,1972
who owns the rights to baby shark song,SmartStudy,Pinkfong
how many episodes are in one punch man season 1,12,12
name of the bird in the lion king,Zazu,Zazu
who sampled rick james give it to me baby,"MC Hammer,Jovanotti,Common,Public Enemy,Jay-Z,Kendrick Lamar,Salt-N-Pepa",beyonce
who was fighting in the battle of amiens,"Canada,United Kingdom,German Empire,British Empire,United States,Australia,France",Germany and Allied forces
what are the three types of wind turbines,"blades, or be bladeless,vertical,horizontal",Horizontalaxis Wind Turbine Verticalaxis Wind Turbine Ducted Wind Turbine
who plays ollie in coop and cami ask the world,Paxton Booth,Ethan Wacker
who played the most seasons in nfl history,Morten Andersen,Tom Brady
who won the fifa fair play award 2018,Lennart Thy,Iceland
where does red dead redemption 1 take place,"the Western United States,Mexico",AmericanWest
what is the star sign for september 15,Leo,Virgo
when do meredith and derek get back together in season 2,"Losing My Religion,27",April 24 2015
who sings a white sport coat and a pink carnation,Marty Robbins,Marty Robbins
an act of the legislature directly punishing a person or group is referred to as a​,bill of attainder,Bill of Attainder
the official u.s. poverty line is based on the cost of what,ICP purchasing power,food
what place did jennifer hudson get in american idol,"Jennifer Hudson,7",Seventh
